name,latitude,longitude,address,website
Galston Library,-33.652846,151.044365,"357 Galston Road, Galston NSW 2159",http://www.thehills.nsw.gov.au/Library.html
Gerringong Library,-34.743414,150.82718,"Town Hall, Fern Street, Gerringong NSW 2534",http://www.kiama.nsw.gov.au/Community-Services/library/index.html
Gilgandra Library,-31.711311,148.660414,"Warren Road, Gilgandra NSW 2827",http://www.warren.nsw.gov.au/community/1079.html
Gladesville Library,-33.829262,151.127663,"6 Pittwater Road, Gladesville NSW 2111",http://www.ryde.nsw.gov.au/library/ryde.htm
Glebe Library,-33.877384,151.185085,"186 Glebe Point Road (cnr Wigram Road), Glebe NSW  2037",http://www.cityofsydney.nsw.gov.au/Library/Default.asp
Glen Innes Severn Public & TAFE Library,-29.745781,151.734198,"71 Grey Street, Glen Innes NSW 2370",http://www.gisc.nsw.gov.au/library.html
Glenquarie Library,-33.989471,150.882626,"Glenquarie Neighbourhood Centre, Macquarie Field, Glenquarie NSW 2564",http://www.campbelltown.nsw.gov.au/default.asp?iSubCatID=121&iNavCatID=1
Gloucester Library,-32.007388,151.960677,"Denison Street, Gloucester NSW 2422",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Gosford City Library,-33.426697,151.342796,"118 Donnison Street, Gosford  NSW  2250",http://www.gosford.nsw.gov.au/library
Goulburn Library,-34.753845,149.715966,"Civic Centre, Bourke Street, Goulburn NSW 2580",http://www.strl.nsw.gov.au/
Grafton Library,-29.703971,152.932792,"110 Spring Street, South Grafton NSW 2461",http://www.crl.nsw.gov.au/
Greater Taree City Library,-31.914739,152.459573,"242 Victoria Street, Taree NSW 2430",www.gtcc.nsw.gov.au
Green Valley Library,-33.908344,150.865883,"179-183 Wilson Road, Green Valley NSW 2168",http://ebranch.liverpool.nsw.gov.au/
Greenacre Library,-33.9087,151.05643,"Community Place, Greenacre NSW 2190",http://www.bankstown.nsw.gov.au/Library/default.aspx
Greenwich Library,-33.829124,151.188075,"48 Greenwich Road, Greenwich NSW 2065",http://www.lanecove.nsw.gov.au/Living%20in%20the%20Area/Library/Operations/LibraryService.htm
Grenfell & District Public Library,-33.893251,148.160692,"88 Main Street, Grenfell NSW  2810",http://weddin.local-e.nsw.gov.au/community/1003.html
Greystanes Library,-33.829753,150.946768,"732 Merrylands Road, Greystanes NSW 2145",http://www.holroyd.nsw.gov.au/library
Griffith Library,-34.287898,146.048171,233-237 Banna Avenue Griffith NSW 2680,http://www.griffith.nsw.gov.au/lp.asp?cat=49
Guildford Library,-33.851067,150.987053,"Railway Terrace, Guildford NSW 2161",http://www.parracity.nsw.gov.au/culture__and__leisure/library
Gulgong Library,-32.364551,149.533067,"Herbert Street, Gulgong NSW 2852",http://www.mudgee.nsw.gov.au/index.php?option=com_content&task=view&id=54&Itemid=101
Gundagai Library,-35.063025,148.101386,"245 Sheridan Street, Gundagai NSW 2722",http://www.rrl.nsw.gov.au/
Gunnedah Library,-30.979371,150.255666,"291-293 Conadilly Street, Gunnedah NSW 2380",http://www.infogunnedah.com.au/council/library.php
Gunning Library,-34.7828,149.266232,"92 Yass Street, Gunning NSW 2581",http://www.strl.nsw.gov.au/
Guyra Shire Council Public Library,-30.221424,151.670806,"162 Bradley Street, Guyra  2365",http://guyra.local-e.nsw.gov.au/library.html
Haberfield Library,-33.879584,151.139033,"78-80 Dalhousie Street, Haberfield NSW 2045",http://www.ashfield.nsw.gov.au/page/library.html
Hallidays Point Library,-32.072376,152.540653,"Hallidays Point Village Centre, High Street, Hallidays Point NSW 2430",http://www.gtcc.nsw.gov.au/webcomm/Page/Page.asp?Page_Id=392&p=1
Hamilton Library,-32.923094,151.747734,"James & Murray Streets, Hamilton NSW 2303",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Harden Library,-34.561733,148.364406,"East Street, Harden NSW 2587",http://www.young.nsw.gov.au/library.htm
Harrington Library,-31.881796,152.663439,"7 Caledonia Street, Harrington NSW 2427",http://www.gtcc.nsw.gov.au/webcomm/Page/Page.asp?Page_Id=392&p=1
Hay Library,-34.508979,144.843597,"134 Lachlan Street, Hay NSW 2711",http://www.hay.nsw.gov.au/Library.htm
Haymarket Library,-33.879679,151.205332,744 George Street (cnr Hay Street) Haymarket NSW 2000,http://www.cityofsydney.nsw.gov.au/Library/Default.asp
Helensburgh Library,-34.193162,150.982064,"57 Walker Street, Helensburgh NSW 2508",http://www.wollongong.nsw.gov.au/library.asp
Henty Library,-35.51834,147.039059,"30 Sladen Street, Henty NSW 2658",http://www.rrl.nsw.gov.au/
Hillston Library,-33.485018,145.531568,"175 High Street, Hillston NSW 2675",http://www.librarygateway.com/directory.php?lib=1058
Holbrook Library,-35.722652,147.313615,"Bowler Street, Holbrook NSW 2644",http://www.umrl.com.au/
Hornsby Library,-33.702863,151.099624,"28-44 George Street, Hornsby NSW 2077",http://www.hornsby.nsw.gov.au/library/
Hurstville Library,-33.963791,151.100997,"12-22 Dora Street, Hurstville NSW 2220",http://www.hurstville.nsw.gov.au/PageZone_Library.asp?z=10&c=361&p=433
Iluka Library,-29.401899,153.350529,"Micalo Street, Iluka NSW 2466",http://www.crl.nsw.gov.au/
Ingleburn Library,-33.999959,150.867939,"Cnr Oxford & Cumberland Roads, Ingleburn NSW 2656",http://www.campbelltown.nsw.gov.au/default.asp?iSubCatID=121&iNavCatID=1
Inverell Shire Public Library,-29.776367,151.111765,"55-59 Campbell Street, Inverell NSW 2360",http://www.inverell-online.com.au/dir205/InvOnline.nsf
Jerilderie Library,-35.425398,145.867203,"Jerilderie Street, Jerilderie NSW 2716",http://www.jerilderie.nsw.gov.au/library.html
Junee Library,-34.871806,147.587062,"17 Denison Street, Junee NSW 2663",http://www.rrl.nsw.gov.au/
Kandos Library,-32.858797,149.975832,"Community Centre, Angus Avenue, Kandos NSW 284",http://www.mudgee.nsw.gov.au/index.php?option=com_content&task=view&id=54&Itemid=101
Kariong Library,-33.439733,151.293333,"Shop 4, Kariong Shopping Centre, Kariong NSW 2250",http://www.gosford.nsw.gov.au/library
Katoomba Library,-33.714043,150.311589,"Town Centre Arcade, Katoomba NSW 2780",http://www.bmcc.nsw.gov.au/yourcommunity/library
